city,distance_to_center_km,rating,num_reviews,room_type,beds_in_room,breakfast_included,wifi,laundry,season,weekend,occupancy_rate,hostel_age_years,kitchen_access,air_conditioning,locker_available,security_24h,female_only_dorm_available,common_area_count,room_area_sqft,bathroom_type,price_per_night
Warsaw,7.6,3.0,81,private,2,1,1,0,shoulder,1,0.71,24,0,1,1,0,0,2,126,shared,40.16
Warsaw,1.9,4.6,175,dorm,8,1,1,0,shoulder,1,0.64,20,1,1,0,1,0,2,198,shared,24.35
Copenhagen,1.9,4.1,88,dorm,12,1,1,1,shoulder,0,0.62,25,0,0,1,0,0,5,151,private,22.77
Berlin,6.7,4.6,397,private,1,1,1,0,shoulder,1,0.59,23,0,1,1,1,1,4,100,private,60.11
London,0.1,4.8,243,private,1,1,1,1,peak,0,0.98,11,1,1,1,1,1,2,163,private,163.87
Rome,2.1,3.1,22,private,1,0,1,0,low,0,0.59,0,0,0,1,0,0,4,151,shared,67.99
Warsaw,2.5,4.5,330,private,2,0,1,1,low,1,0.46,22,0,1,0,1,0,2,181,shared,40.04
Vienna,2.0,3.7,50,private,2,1,1,0,shoulder,1,0.6,20,1,1,0,0,0,6,115,private,75.67
Vienna,2.2,2.5,6,dorm,4,0,1,1,low,0,0.49,26,1,0,0,1,0,1,175,private,21.51
Milan,4.5,2.5,53,private,2,0,1,0,shoulder,1,0.62,5,0,1,0,0,1,5,128,private,71.77
Berlin,0.8,3.1,69,private,2,1,1,0,low,0,0.52,9,0,0,0,0,1,5,109,private,52.22
Madrid,4.3,3.9,78,private,1,1,1,1,peak,1,0.71,1,1,0,1,1,0,3,175,shared,111.29
Budapest,6.1,4.1,266,private,1,0,1,1,low,1,0.39,15,0,1,1,1,0,6,168,private,44.82
Stockholm,2.4,3.0,8,dorm,4,0,1,1,peak,0,0.91,28,1,0,0,1,0,5,179,shared,33.53
Warsaw,6.9,3.5,68,dorm,10,1,1,0,peak,1,0.87,20,1,0,1,1,0,4,148,shared,19.24
Copenhagen,7.7,3.1,54,private,2,0,1,1,peak,0,0.98,19,1,0,0,1,0,1,160,private,76.18
Vienna,0.7,4.2,159,dorm,10,1,1,0,shoulder,0,0.54,2,1,1,1,1,0,4,239,shared,24.2
Paris,7.1,2.5,22,private,2,0,1,0,peak,1,0.74,11,1,1,1,0,1,2,122,shared,71.59
Milan,7.3,3.4,91,dorm,6,1,1,1,low,0,0.45,26,0,1,0,1,1,5,241,private,18.64
Berlin,5.3,3.3,38,private,1,0,1,0,peak,1,0.75,24,1,1,1,1,0,2,195,private,87.2
Berlin,4.0,4.6,267,private,1,1,1,0,shoulder,1,0.53,7,1,1,1,0,0,4,113,private,78.4
Warsaw,4.3,4.1,270,dorm,10,1,1,0,peak,0,0.98,23,1,0,1,0,0,2,132,shared,21.03
Amsterdam,6.5,4.2,176,dorm,4,0,1,1,shoulder,1,0.57,4,1,0,1,1,0,5,132,shared,33.38
Helsinki,6.7,4.4,224,dorm,4,0,1,0,peak,0,0.87,21,1,1,1,1,1,4,158,shared,34.17
Amsterdam,6.3,3.0,27,private,2,0,1,0,low,0,0.39,21,1,0,1,1,0,4,171,shared,33.93
Warsaw,5.5,3.3,27,dorm,8,1,1,1,peak,1,0.81,15,0,0,1,1,0,2,125,shared,25.41
Madrid,7.5,2.9,62,private,2,0,1,0,peak,0,0.81,1,0,1,1,1,0,2,144,private,52.85
Madrid,7.0,4.7,343,private,2,1,1,1,peak,1,0.81,13,1,1,1,1,0,1,170,private,72.61
Oslo,2.2,4.4,127,dorm,6,1,1,0,shoulder,0,0.64,24,0,1,1,1,0,6,199,private,29.65
Helsinki,1.9,3.7,128,dorm,8,1,1,0,shoulder,0,0.64,6,1,0,1,0,0,2,226,shared,33.24
Milan,5.7,3.9,60,dorm,6,1,1,1,shoulder,0,0.58,19,0,0,1,0,0,4,186,private,25.31
Berlin,3.1,4.6,300,private,1,1,1,1,shoulder,1,0.65,7,1,0,0,1,0,3,100,private,99.01
Helsinki,3.7,2.6,48,private,1,0,1,0,peak,1,0.72,23,0,0,1,0,0,3,198,private,104.15
Helsinki,1.9,4.6,461,dorm,12,0,1,0,shoulder,1,0.63,0,1,1,1,0,0,5,188,shared,36.51
Helsinki,0.8,4.0,113,dorm,6,0,1,0,low,1,0.42,16,0,0,0,1,0,1,146,private,26.32
Rome,3.6,3.3,25,dorm,10,1,1,0,peak,0,0.83,9,1,1,1,1,0,1,177,private,32.21
Stockholm,2.4,4.6,354,dorm,6,0,1,0,peak,1,0.74,8,0,1,1,0,0,2,228,private,58.81
Brussels,3.7,3.1,72,private,2,0,1,0,peak,1,0.86,15,1,0,0,0,1,6,128,private,96.34
Warsaw,5.2,4.0,120,dorm,6,1,1,0,shoulder,1,0.54,11,1,1,1,1,0,4,136,shared,25.71
Budapest,4.9,3.1,17,private,2,0,1,0,shoulder,1,0.72,29,1,0,0,0,1,6,139,shared,31.56
Madrid,7.0,3.3,50,private,2,0,1,0,peak,0,0.91,21,0,1,1,0,1,1,184,shared,54.2
Rome,0.8,2.5,61,dorm,4,0,1,0,peak,0,0.89,28,0,1,1,0,1,4,188,private,33.19
Oslo,4.8,3.1,81,private,2,0,1,1,shoulder,0,0.72,3,1,0,0,0,0,4,171,private,72.18
Rome,4.0,2.6,34,private,1,0,1,0,peak,1,0.82,10,1,0,1,0,0,4,149,shared,110.32
Stockholm,5.4,3.3,23,dorm,4,1,1,1,low,0,0.7,9,1,1,0,0,0,6,135,shared,25.56
Athens,6.0,4.7,295,private,2,1,1,1,peak,1,0.95,7,1,1,0,1,0,5,112,shared,94.7
Vienna,3.5,4.7,163,dorm,10,1,1,0,low,1,0.61,19,0,1,1,1,1,5,183,shared,25.62
Rome,1.1,4.3,203,private,2,1,1,1,peak,1,0.96,17,0,1,0,1,1,2,143,shared,115.43
Oslo,3.7,3.3,39,dorm,8,1,1,1,low,1,0.33,2,1,1,1,1,1,4,230,private,35.92
Berlin,4.3,3.5,33,private,1,0,1,0,shoulder,0,0.54,0,0,1,0,1,0,4,177,shared,64.3
Paris,7.8,3.3,76,dorm,8,0,1,0,low,0,0.48,22,1,0,0,0,0,1,169,private,15.57
Copenhagen,5.4,4.8,500,dorm,6,0,1,0,shoulder,1,0.56,18,0,0,0,1,0,4,179,shared,32.4
Paris,5.9,2.7,53,private,1,0,1,0,peak,0,0.72,7,1,0,0,0,1,2,131,shared,91.36
Paris,7.0,4.3,283,private,1,0,1,1,shoulder,1,0.5,3,1,0,1,1,0,2,109,shared,96.21
Berlin,2.9,2.9,15,private,2,0,1,1,shoulder,0,0.73,11,0,1,0,1,0,3,141,private,56.87
Dublin,3.7,4.6,424,dorm,6,1,1,1,shoulder,1,0.56,13,0,1,0,0,1,2,125,shared,31.14
Amsterdam,0.8,3.2,62,dorm,4,0,1,0,low,0,0.43,2,0,0,1,1,0,4,145,private,31.99
Stockholm,7.3,3.5,120,private,1,1,1,0,peak,1,0.79,14,1,0,1,0,1,1,159,private,115.55
Copenhagen,1.4,3.6,94,private,2,1,1,1,peak,1,0.7,4,1,1,0,0,1,2,136,shared,140.57
Oslo,7.2,4.8,285,private,2,0,1,1,shoulder,1,0.55,18,1,1,0,0,0,1,114,shared,67.37
Barcelona,6.5,4.4,238,dorm,4,0,1,0,peak,0,0.81,20,0,1,1,1,0,1,242,private,29.81
Milan,8.0,3.5,144,dorm,6,1,1,0,peak,1,0.9,14,0,1,0,0,0,3,169,shared,31.71
Rome,1.3,2.6,47,private,2,0,1,0,low,0,0.34,29,0,0,0,1,1,6,148,shared,33.38
Warsaw,1.1,3.2,27,private,2,0,1,0,peak,1,0.99,19,1,1,1,1,0,4,140,private,81.52
Budapest,6.8,4.3,140,private,2,1,1,1,peak,0,0.83,28,1,0,1,1,0,1,161,private,39.85
Athens,5.9,4.5,292,dorm,10,1,1,1,peak,1,0.9,5,1,1,1,1,0,1,126,private,31.29
Amsterdam,1.0,2.8,77,dorm,4,0,1,0,shoulder,0,0.57,0,1,0,1,0,0,4,186,shared,37.04
Berlin,0.9,4.3,241,dorm,4,1,1,0,low,1,0.61,9,1,1,1,1,0,3,146,shared,39.33
Milan,6.6,2.9,41,private,1,0,1,1,shoulder,1,0.79,5,0,0,1,0,0,1,142,shared,84.74
Rome,1.0,3.7,40,dorm,8,0,1,0,shoulder,0,0.76,25,0,0,1,1,0,6,213,shared,21.21
Amsterdam,2.1,4.6,184,private,1,0,1,1,low,0,0.41,10,1,1,1,1,1,6,154,private,82.17
Berlin,4.8,4.7,281,dorm,10,1,1,1,peak,0,0.97,17,0,1,1,1,1,2,169,shared,23.82
Rome,0.9,2.7,39,dorm,12,0,1,0,low,0,0.54,3,1,1,0,0,0,3,235,shared,21.09
Stockholm,0.1,3.0,83,dorm,12,0,1,1,shoulder,1,0.69,15,1,0,1,0,1,5,231,private,35.05
Oslo,2.8,3.3,88,dorm,12,0,1,0,shoulder,0,0.51,4,0,1,1,1,0,2,248,shared,26.1
Athens,1.3,3.0,48,private,1,0,1,0,shoulder,1,0.7,8,1,0,1,1,0,3,135,shared,79.19
Rome,2.6,3.8,74,private,1,1,1,1,shoulder,0,0.66,12,0,1,1,0,1,6,135,shared,66.69
Budapest,4.2,4.0,117,private,1,1,1,0,peak,1,0.84,29,0,0,1,1,0,2,144,private,61.88
Dublin,7.1,4.9,325,dorm,10,0,1,0,low,1,0.32,19,0,0,1,0,1,6,181,shared,13.76
Paris,5.7,4.6,444,dorm,6,1,1,0,shoulder,0,0.51,18,0,0,1,1,0,5,213,private,27.04
Budapest,0.6,5.0,372,dorm,6,1,1,1,shoulder,0,0.76,29,0,0,1,1,1,2,250,shared,21.87
Rome,0.6,4.7,265,dorm,12,1,1,0,peak,0,0.77,17,1,1,1,0,1,5,167,shared,31.26
London,7.8,3.4,18,private,2,1,1,1,peak,1,0.87,24,0,0,0,1,0,3,139,shared,69.61
Budapest,0.3,2.6,64,private,2,0,1,1,peak,0,0.79,10,0,1,0,0,1,6,155,private,64.9
Budapest,3.2,4.5,343,private,2,1,1,1,low,1,0.67,1,1,1,0,1,0,2,182,private,67.63
Madrid,0.2,3.7,149,dorm,6,1,1,0,peak,1,0.84,0,1,1,0,1,0,1,240,private,52.46
Dublin,3.9,4.0,190,private,1,1,1,1,shoulder,0,0.76,2,1,0,1,1,0,6,182,private,99.99
Prague,3.1,4.1,144,dorm,8,1,1,0,low,1,0.53,17,1,0,1,1,1,6,227,shared,21.99
Amsterdam,4.9,3.6,86,dorm,4,0,1,1,peak,0,0.92,24,0,1,0,1,0,5,222,private,31.48
Budapest,7.7,4.2,173,dorm,12,1,1,1,peak,1,0.76,14,0,0,1,1,0,6,142,private,17.9
Rome,1.3,4.4,145,private,2,0,1,1,low,0,0.6,15,1,1,0,0,1,5,185,private,49.57
Budapest,4.7,4.4,180,dorm,10,1,1,1,shoulder,0,0.7,26,1,0,0,0,1,5,228,private,12.3
Madrid,5.5,4.3,155,private,1,1,1,0,peak,0,0.84,14,1,0,0,0,0,4,164,private,75.73
Helsinki,5.6,4.3,184,dorm,8,1,1,0,shoulder,1,0.75,15,0,1,0,1,1,5,186,private,28.58
Oslo,0.6,4.6,189,private,2,1,1,1,peak,0,0.93,23,0,0,0,1,1,4,180,shared,125.94
Lisbon,5.3,4.1,273,private,2,1,1,0,shoulder,0,0.69,18,0,0,1,0,0,2,190,private,44.85
Oslo,3.4,3.4,29,private,1,1,1,0,low,1,0.43,1,1,1,1,0,0,5,124,private,117.13
Budapest,7.3,3.5,147,dorm,10,0,1,0,peak,1,0.85,2,1,0,1,0,0,4,217,private,19.08
Brussels,6.6,3.3,78,private,1,0,1,0,shoulder,1,0.56,4,0,1,1,1,0,6,125,shared,87.76
Helsinki,7.1,3.2,35,dorm,4,1,1,1,low,0,0.5,15,1,1,0,1,0,3,236,private,20.53
Amsterdam,6.5,4.9,450,private,1,1,1,0,peak,0,0.73,20,0,0,0,1,0,4,191,private,82.2
Madrid,5.0,2.7,48,dorm,4,1,1,0,shoulder,1,0.74,25,1,1,0,1,1,4,141,private,25.84
Barcelona,5.0,4.7,275,dorm,8,0,1,1,peak,1,0.83,2,1,0,1,1,0,5,202,private,42.47
Amsterdam,1.2,4.9,224,private,2,0,1,0,shoulder,1,0.61,14,1,0,1,1,0,5,173,private,80.06
Milan,3.7,3.7,110,private,2,0,1,1,shoulder,1,0.76,4,0,1,1,1,0,1,180,private,85.44
Vienna,6.8,4.3,170,dorm,4,1,1,1,shoulder,1,0.71,25,0,0,0,0,1,5,123,shared,20.72
Paris,0.4,2.5,59,private,2,0,1,0,low,1,0.3,6,0,1,1,0,0,5,136,shared,72.92
Lisbon,5.4,3.2,89,dorm,6,1,1,1,shoulder,1,0.75,26,0,0,1,1,0,4,195,private,23.26
Brussels,1.8,3.1,57,dorm,6,0,1,0,low,1,0.36,7,1,0,1,1,0,4,237,private,33.42
Berlin,7.7,3.5,34,private,1,1,1,0,peak,1,0.7,22,0,0,1,0,0,2,143,private,74.72
Budapest,6.2,4.8,190,dorm,6,1,1,0,low,0,0.55,0,1,1,1,1,0,5,189,shared,19.86
Rome,1.6,4.9,456,dorm,12,1,1,1,peak,1,0.81,5,1,0,1,1,0,1,148,shared,44.5
Brussels,6.6,3.9,58,private,2,1,1,1,low,0,0.45,3,1,0,0,1,1,3,151,shared,49.82
Helsinki,4.2,4.1,194,private,1,0,1,1,peak,0,0.99,27,1,1,1,0,0,5,162,shared,96.18
Lisbon,7.6,4.8,189,private,1,1,1,1,low,0,0.54,13,0,1,0,0,0,6,168,private,42.27
Vienna,3.9,3.8,40,dorm,8,1,1,0,peak,1,0.92,20,0,0,0,1,0,5,154,shared,28.75
Brussels,4.0,3.7,91,private,1,0,1,1,shoulder,0,0.59,10,0,0,1,1,0,2,194,private,80.64
Dublin,2.0,2.6,20,private,2,1,1,1,peak,0,1.0,4,1,0,0,1,0,4,186,private,91.78
Brussels,6.8,5.0,468,dorm,6,1,1,1,shoulder,1,0.8,10,0,1,1,1,0,1,129,shared,37.08
Helsinki,3.8,3.5,135,dorm,4,1,1,1,low,1,0.51,19,1,0,1,0,1,2,244,shared,31.48
Dublin,0.2,3.2,89,private,1,0,1,0,low,0,0.64,12,1,0,0,0,0,5,199,shared,68.48
Paris,6.7,3.6,121,private,1,1,1,0,peak,1,0.98,11,1,1,1,1,0,5,180,private,121.59
Amsterdam,1.3,4.9,323,dorm,12,1,1,1,shoulder,0,0.57,8,0,0,0,1,0,2,125,shared,29.55
Oslo,1.8,2.8,17,private,1,1,1,0,low,1,0.43,19,0,0,0,0,0,6,196,shared,80.42
Athens,5.9,2.7,51,private,2,0,1,0,low,1,0.31,9,0,0,0,0,0,1,165,private,33.73
Prague,5.9,3.7,101,private,1,1,1,1,shoulder,1,0.51,8,1,0,1,1,0,5,140,shared,57.08
Stockholm,2.8,3.1,72,dorm,8,1,1,0,shoulder,0,0.53,8,1,0,1,1,0,6,181,shared,27.53
Prague,1.0,4.3,234,private,1,0,1,1,low,1,0.62,29,0,1,0,1,1,6,134,shared,53.71
Oslo,4.4,3.0,14,dorm,10,1,1,0,peak,1,0.93,2,0,1,1,0,0,3,195,shared,48.97
Copenhagen,1.1,2.9,28,private,2,1,1,0,peak,1,0.77,15,1,0,0,0,1,2,107,private,99.57
Athens,0.5,4.5,235,private,1,1,1,1,peak,1,0.9,30,1,1,1,0,0,5,167,shared,94.94
Madrid,4.8,2.9,75,dorm,8,1,1,0,peak,0,0.74,30,1,0,1,0,1,2,240,private,18.97
Copenhagen,2.2,4.4,172,private,1,1,1,1,low,0,0.38,8,1,0,1,1,0,1,117,shared,99.26
Oslo,4.8,3.4,36,dorm,6,1,1,0,peak,0,0.95,10,1,0,0,1,0,4,241,private,43.47
Stockholm,6.2,4.6,312,private,1,1,1,1,peak,0,0.93,27,1,0,1,1,0,5,136,private,101.17
Stockholm,4.2,3.5,105,dorm,12,1,1,0,shoulder,0,0.77,28,0,0,1,0,1,6,235,shared,19.19
Prague,4.7,2.6,81,dorm,6,0,1,1,shoulder,0,0.67,25,0,0,1,1,0,1,212,shared,16.84
Milan,0.9,4.7,293,dorm,12,1,1,0,shoulder,1,0.67,11,1,0,1,1,0,2,236,private,35.31
Barcelona,4.5,4.5,419,private,1,0,1,0,shoulder,0,0.79,30,0,1,1,1,0,2,133,private,53.24
London,7.4,4.9,328,private,2,0,1,1,peak,1,0.85,9,1,0,0,0,1,5,198,private,92.64
Budapest,2.7,3.3,65,dorm,10,0,1,0,peak,0,0.76,10,1,1,1,1,0,4,198,shared,25.06
Vienna,2.0,3.3,78,private,1,1,1,0,shoulder,1,0.72,14,1,0,1,1,0,4,198,private,95.29
Oslo,6.5,3.8,69,private,1,0,1,1,shoulder,1,0.79,5,1,1,1,0,0,3,169,private,104.63
Barcelona,4.8,4.8,278,private,2,0,1,1,peak,0,0.91,12,1,0,1,1,1,1,145,private,92.96
Oslo,7.5,2.7,29,dorm,10,0,1,0,shoulder,1,0.75,1,1,0,0,1,0,5,131,private,27.2
Milan,3.8,3.1,74,private,2,0,1,1,peak,0,0.75,15,1,0,0,0,0,6,138,shared,80.34
Oslo,3.1,2.9,92,private,1,0,1,0,shoulder,1,0.51,10,0,0,1,1,0,3,191,private,110.09
Berlin,2.5,3.9,85,dorm,12,1,1,1,peak,0,0.97,7,1,0,1,0,0,5,134,shared,32.06
London,1.8,2.6,57,dorm,12,1,1,0,low,0,0.49,10,0,0,1,1,0,4,168,shared,16.86
London,7.2,2.6,85,dorm,8,0,1,0,shoulder,1,0.51,1,1,1,0,1,0,3,170,private,24.59
Lisbon,2.9,3.1,75,dorm,12,0,1,0,low,0,0.53,14,1,1,0,1,0,3,187,private,13.6
Copenhagen,3.2,3.2,36,dorm,4,0,1,0,low,0,0.65,2,1,1,0,0,1,2,150,private,30.14
Brussels,1.4,3.4,38,dorm,12,0,1,0,shoulder,1,0.54,12,1,1,0,1,1,1,145,shared,25.58
Athens,2.6,4.1,236,dorm,4,0,1,1,low,1,0.6,30,1,0,0,1,1,3,211,shared,18.54
Stockholm,1.6,3.8,46,dorm,12,1,1,1,low,1,0.45,26,0,0,0,1,1,1,199,shared,25.0
Dublin,1.8,4.1,135,dorm,8,1,1,0,low,1,0.6,7,1,1,1,0,1,1,221,private,35.32
Athens,7.3,2.8,23,dorm,12,0,1,1,shoulder,1,0.59,2,0,1,1,0,0,5,163,shared,17.36
Berlin,0.8,4.3,123,dorm,10,0,1,1,peak,1,1.0,30,0,0,1,1,0,2,222,private,34.0
London,7.3,4.1,243,private,1,1,1,1,low,0,0.43,10,0,0,0,1,0,3,129,shared,48.55
Stockholm,6.8,4.8,259,dorm,10,0,1,1,shoulder,1,0.54,29,0,0,1,1,1,2,191,private,18.56
Paris,0.3,4.9,191,dorm,4,0,1,1,shoulder,1,0.67,28,1,1,1,1,0,4,247,shared,39.95
Dublin,8.0,2.5,59,private,1,1,1,0,peak,0,0.79,8,0,0,1,1,0,6,135,shared,63.44
Berlin,7.1,4.3,297,dorm,8,1,1,1,low,1,0.43,6,1,0,1,1,0,4,247,private,22.81
Warsaw,6.0,2.5,65,dorm,10,0,1,1,low,1,0.39,16,0,0,0,1,0,4,165,private,11.76
Stockholm,4.9,4.9,427,dorm,8,0,1,0,shoulder,1,0.51,22,1,0,1,0,0,1,136,shared,27.71
Dublin,5.9,2.8,96,private,1,0,1,1,shoulder,1,0.59,25,1,1,0,0,0,6,181,shared,55.09
Copenhagen,1.8,4.7,486,dorm,4,0,1,1,shoulder,1,0.5,0,1,1,1,1,0,3,165,shared,48.51
Prague,2.3,4.4,293,private,2,1,1,1,low,1,0.39,18,1,1,1,1,0,2,184,private,50.48
Vienna,4.9,4.1,258,private,1,1,1,0,shoulder,0,0.71,11,1,0,1,1,0,3,156,shared,74.9
Rome,6.5,4.9,333,dorm,4,0,1,1,low,0,0.67,25,1,0,1,1,1,6,198,shared,22.06
Stockholm,7.4,3.3,46,dorm,10,0,1,1,shoulder,0,0.57,3,0,0,1,0,1,6,162,private,16.75
Stockholm,1.9,4.8,211,dorm,8,1,1,1,peak,1,0.92,26,0,0,1,1,0,4,134,shared,42.58
Stockholm,2.8,4.9,309,private,1,0,1,0,low,0,0.42,13,1,1,1,0,0,4,119,private,85.21
Lisbon,0.2,3.9,97,private,1,0,1,1,peak,0,0.75,16,1,0,1,1,0,6,191,private,101.97
Helsinki,3.0,3.8,59,dorm,8,1,1,0,shoulder,0,0.7,9,0,0,0,1,0,3,183,private,28.12
Madrid,2.1,3.7,85,private,1,0,1,0,low,0,0.4,18,0,0,0,1,0,2,181,shared,52.52
Lisbon,0.7,4.2,250,private,1,1,1,1,peak,1,0.9,12,1,1,1,1,0,1,163,shared,124.13
Madrid,1.0,4.8,329,private,1,0,1,1,low,1,0.34,28,0,0,1,0,0,3,173,shared,63.15
Stockholm,7.9,4.8,414,private,1,0,1,1,shoulder,1,0.59,26,0,0,1,0,1,5,193,shared,62.43
London,6.7,4.4,146,dorm,12,1,1,1,peak,0,0.8,18,1,1,1,0,1,1,188,shared,20.43
Copenhagen,4.4,3.2,70,dorm,12,1,1,1,low,1,0.62,3,1,0,0,1,0,2,235,private,27.78
Rome,4.2,2.9,24,private,2,1,1,0,low,0,0.3,18,1,0,1,0,0,6,109,private,40.09
Brussels,4.7,3.6,84,private,1,1,1,1,peak,0,0.94,7,0,1,1,0,0,4,142,shared,110.33
Paris,2.9,3.0,88,dorm,4,1,1,1,peak,1,0.71,27,0,0,1,1,0,6,194,private,41.31
Stockholm,0.9,2.6,26,dorm,4,0,1,0,shoulder,0,0.68,4,0,0,0,1,1,2,168,private,38.24
Stockholm,0.6,4.5,179,private,1,0,1,0,low,1,0.62,17,1,0,1,1,0,1,175,shared,101.64
Madrid,5.4,4.9,172,private,2,0,1,0,peak,0,0.81,29,0,1,1,1,0,1,191,private,58.34
Dublin,5.5,2.8,81,private,2,0,1,1,low,1,0.52,1,1,0,0,0,1,2,106,shared,56.83
Amsterdam,2.7,3.4,41,private,1,0,1,0,peak,0,0.82,23,0,0,0,0,0,6,157,private,87.57
Milan,6.0,3.2,96,dorm,6,1,1,1,peak,1,0.93,21,1,0,1,1,1,3,126,private,34.91
Madrid,7.7,3.4,84,private,2,1,1,1,shoulder,1,0.67,26,0,1,1,1,0,3,166,shared,43.95
Barcelona,3.2,4.5,496,dorm,10,1,1,1,shoulder,0,0.55,7,1,1,1,1,0,2,246,shared,27.62
Amsterdam,4.4,2.6,40,private,1,0,1,0,shoulder,0,0.75,0,0,1,1,1,0,2,151,private,75.23
Prague,2.3,4.0,239,dorm,8,1,1,0,peak,0,0.8,22,1,0,0,1,0,2,223,shared,25.04
Budapest,3.6,4.3,282,dorm,6,0,1,1,low,1,0.61,17,1,0,1,0,0,4,160,private,21.74
Warsaw,6.6,2.9,8,dorm,6,1,1,1,low,1,0.35,29,0,1,1,1,0,2,233,private,15.6
Copenhagen,7.8,2.6,58,dorm,10,1,1,0,peak,1,1.0,14,0,0,1,1,1,5,222,shared,27.58
Copenhagen,1.7,4.6,375,private,1,1,1,0,low,0,0.37,17,1,0,1,1,1,1,130,private,69.86
Berlin,4.4,3.0,38,private,1,0,1,0,low,0,0.6,23,1,0,0,0,1,3,147,shared,52.02
Milan,0.4,3.3,72,private,1,0,1,0,peak,0,0.96,19,0,0,1,0,0,2,182,shared,122.55
Brussels,6.9,2.9,25,dorm,6,1,1,1,shoulder,1,0.72,17,1,0,1,1,0,2,213,shared,27.62
London,6.4,3.0,74,dorm,8,1,1,0,shoulder,1,0.59,4,1,0,1,1,1,6,130,private,28.63
Rome,7.1,3.9,119,private,1,1,1,0,shoulder,1,0.79,24,1,0,1,1,0,5,102,private,61.39
Oslo,7.2,3.7,117,dorm,6,1,1,0,shoulder,0,0.51,26,1,0,1,0,0,1,232,private,22.52
Dublin,4.3,4.9,499,dorm,6,1,1,1,low,0,0.47,25,1,0,1,1,1,4,225,shared,23.36
Paris,4.9,2.7,5,dorm,4,1,1,0,peak,1,0.98,18,0,0,1,1,0,5,229,private,38.8
Stockholm,5.3,4.3,217,private,2,0,1,1,peak,1,0.95,20,0,1,1,1,0,3,142,shared,117.23
Lisbon,3.0,3.6,89,dorm,12,1,1,1,low,0,0.41,28,0,0,1,1,0,6,221,private,11.72
Stockholm,5.4,3.0,97,private,1,1,1,0,low,1,0.53,7,0,1,1,0,0,1,172,private,72.52
Paris,4.7,4.8,454,private,2,1,1,0,shoulder,1,0.74,28,1,1,1,1,0,1,148,shared,80.81
Warsaw,1.5,4.9,486,dorm,8,1,1,0,peak,1,0.84,14,0,1,1,1,0,3,186,shared,31.82
Warsaw,3.8,3.1,83,dorm,10,1,1,0,peak,0,0.79,13,0,0,0,1,0,3,248,shared,19.26
Dublin,6.2,5.0,174,dorm,6,1,1,0,low,0,0.45,3,1,1,1,1,1,6,137,private,26.3
Prague,7.6,4.1,225,dorm,12,1,1,0,shoulder,0,0.66,2,1,1,1,1,0,5,206,shared,15.01
Vienna,2.8,4.1,238,private,2,1,1,1,peak,1,1.0,26,1,0,1,0,0,2,115,private,81.6
Amsterdam,1.8,4.6,450,dorm,12,0,1,1,peak,1,0.82,26,1,1,0,1,0,1,192,shared,30.27
Dublin,7.8,3.6,37,private,2,1,1,0,peak,0,0.84,27,0,1,1,1,1,2,200,private,63.9
Helsinki,2.3,2.8,60,private,1,0,1,1,low,0,0.52,1,1,1,1,0,0,3,122,private,74.7
Oslo,7.2,2.6,42,private,2,1,1,0,peak,1,0.92,22,0,0,0,1,0,6,145,shared,82.43
Dublin,3.3,4.4,300,private,2,0,1,0,shoulder,0,0.62,14,0,0,1,1,0,5,184,private,59.2
London,1.5,4.5,206,dorm,10,0,1,1,shoulder,0,0.53,28,0,0,0,1,0,3,131,private,21.51
Warsaw,2.6,3.5,37,dorm,12,1,1,1,low,1,0.37,12,1,1,0,1,0,6,204,shared,18.44
Vienna,6.0,2.7,73,private,2,0,1,0,peak,0,0.87,27,0,0,0,1,0,4,183,private,49.95
Berlin,2.6,4.6,262,private,1,1,1,1,shoulder,1,0.59,18,1,0,1,1,1,4,120,shared,73.28
Rome,6.9,3.0,55,dorm,12,0,1,0,low,0,0.35,10,1,0,1,1,0,3,149,private,12.86
Barcelona,6.2,2.8,30,dorm,12,0,1,1,peak,1,0.99,23,0,1,1,0,0,2,147,shared,20.79
Rome,6.0,4.8,270,private,2,1,1,1,low,0,0.33,20,0,0,1,1,0,1,109,private,42.92
Milan,7.4,2.5,41,private,1,0,1,1,shoulder,0,0.53,6,1,0,1,1,1,3,117,private,70.18
Prague,4.0,4.0,140,private,1,1,1,1,peak,1,0.92,22,0,0,1,0,1,6,174,private,92.34
Madrid,0.9,3.5,145,private,2,0,1,0,shoulder,0,0.65,7,0,0,0,1,0,2,176,shared,54.4
London,6.0,3.0,49,dorm,8,0,1,1,low,1,0.31,23,1,0,1,1,1,5,168,private,19.44
Oslo,2.9,3.5,145,private,1,1,1,1,low,0,0.64,18,1,0,1,1,0,3,194,private,93.65
Amsterdam,6.9,4.6,248,dorm,10,1,1,1,peak,0,0.97,16,1,1,1,1,0,4,220,shared,29.47
Paris,6.2,2.7,86,private,1,1,1,0,shoulder,0,0.59,19,1,1,1,0,1,5,200,shared,65.58
Milan,2.7,2.5,31,private,1,0,1,0,peak,1,0.82,2,0,0,0,1,1,3,165,shared,150.17
Stockholm,2.6,4.6,346,private,1,1,1,1,shoulder,1,0.72,23,0,1,1,1,0,4,189,private,108.83
Oslo,1.3,4.5,427,private,2,1,1,1,peak,0,0.7,23,1,0,1,0,1,1,133,private,114.5
Vienna,0.1,3.1,28,dorm,4,1,1,1,shoulder,0,0.58,10,1,0,0,0,0,3,182,shared,31.41
Warsaw,0.6,2.8,100,dorm,6,0,1,0,low,0,0.31,24,0,0,1,0,1,4,230,private,13.59
